timestamp,log exp request recency,log request recency,gdsf,log time recency,number of observations,time recency,log bhr,exp request recency,log gdsf,exp time recency,request recency,frequency,entropy,log size,size,log exp time recency,log frequency
1422471498,4.03390854753,3.71348075685,7.78745537745,1.61003391467,1599.01391066,25.9529780564,12.6392662517,7024.81796449,6.25098034846,26.5692895883,6848.15647858,0.0148113596684,12.0464391327,9.44512330009,399816.109391,1.439644143,7.17358246213
1422471558,4.33180897601,3.98318422706,8.44268651535,1.71619068063,1905.0202059,31.9560713601,12.7789710148,7897.18826966,6.03651645394,30.1961556663,8254.40635591,0.0155011572959,12.1047413709,9.40774373438,406723.132425,1.57581836692,7.12334693704
1422471618,4.258160797,3.94703878018,9.90687272898,1.71220375989,2096.13208152,33.5862599334,12.8862084363,7854.47684381,5.85666012883,29.9534125497,8736.0545373,0.0151212769471,12.155872052,9.37143428258,465878.066393,1.53308108695,7.0665131861
1422471678,4.51430166219,4.17894374534,13.1593351354,1.79158009055,2515.89182587,39.1148762919,12.8422237542,9747.50081435,5.59051592782,37.1565061725,10221.5907297,0.0162764849181,12.186413492,9.21636984098,335085.669652,1.65715523253,7.04991706054
1422471738,4.62876741806,4.30237664958,12.9198758084,1.84992411018,2891.17260461,43.7080146739,13.1323709782,11395.1393462,5.64710271097,43.3941763864,11451.9324131,0.0169647388665,12.1535972704,9.38973684459,371405.392153,1.72632716099,7.01169395508
1422471798,4.91456662192,4.52923004342,11.0864303101,1.915087403,3489.49348754,48.3246687626,13.2953578177,13562.2227709,5.5197175165,51.3408981432,12949.7765551,0.0186159332299,12.1142028127,9.40753766711,318286.354368,1.88313225511,6.97115537755
1422471858,4.698992909,4.31866095405,10.3665202262,1.82052486239,3636.17531498,42.2109631576,13.2863260156,12072.3614633,5.72556285177,45.1913949381,11491.7170837,0.0177394006279,12.0912418762,9.5059444337,379908.699946,1.7549232443,7.07714706311
1422471918,4.6533262226,4.31517374888,9.50897762328,1.83568253382,4257.12917378,49.6106507434,13.5583751767,13048.9569397,5.40719161372,48.6429998447,13506.6261882,0.0192408307376,12.0561556666,9.4827833952,442061.635632,1.72492879333,6.90642637771
1422471978,4.7540215357,4.4119869038,10.4548630397,1.93630161705,4236.44102657,61.9801601747,13.2752402403,16129.4633109,5.72315658526,59.9205956323,16966.3632448,0.0178155240056,12.0285464507,9.49919841279,471339.833697,1.82082370719,7.12359759801
1422472038,4.90642248488,4.5582779945,10.9689245931,1.9761219498,4712.09305829,60.8233283115,13.3511726747,16710.6179022,5.51949006741,61.8917772606,16764.3279638,0.0184433641006,12.0454804554,9.43533137103,460028.205354,1.89568012641,7.07742609342
