timestamp,log exp request recency,log request recency,gdsf,log time recency,number of observations,time recency,log bhr,exp request recency,log gdsf,exp time recency,request recency,frequency,entropy,log size,size,log exp time recency,log frequency
1436980703,5.36638715125,5.10791477281,0.547751470469,1.45259816884,42.0070047017,7.43820954856,10.5298802894,12214.0204519,6.92615330493,7.08365455708,12691.1453786,0.000268525079742,14.7295979062,8.72801679715,152371.468531,1.25621171223,8.52019977839
1436980763,5.95012650908,5.64331587655,0.975165486878,1.62010477307,55.3782105086,11.7961172718,10.7965241778,19797.5368415,6.7158567141,11.4581600461,20155.2176875,0.00021916845989,14.975617733,8.75619044596,149821.427199,1.47605632202,8.58517835669
1436980823,6.05492953193,5.74401821988,1.53892303495,1.67973757785,77.4318519759,14.7132475308,10.9295476107,25162.5257621,6.56655443616,14.6029095032,24874.2910951,0.000216300873443,15.1956240697,8.74805102341,154032.725104,1.55624224063,8.60284047692
1436980883,6.43971661437,6.11695628523,1.42503441259,1.82747891036,96.9082333556,20.2325214973,11.2298031845,33244.6850702,6.55354292993,19.5168138213,33813.8096288,0.000213140994192,15.3389371248,8.89167305721,233315.567777,1.72486169644,8.61603899066
1436980943,6.51096295877,6.15654304621,1.57402111555,1.85137493746,115.842004459,22.829668117,11.3527480533,38757.9013429,6.53744140487,22.8195211233,38147.0943691,0.000207996859002,15.4722032177,8.94509472908,236961.856187,1.77939210024,8.6358544169
1436981003,6.72916709532,6.38118036146,1.91730767626,1.93970925116,140.523754766,27.4448243862,11.4675312569,45752.159317,6.40739341068,26.9919649215,45850.3081462,0.000214030957361,15.5696756733,8.93746233379,200259.668351,1.87722346914,8.63307168675
1436981063,6.81092307687,6.4055670052,2.38583261711,1.93670237493,167.204275945,28.3511192854,11.6733608214,49488.2283103,6.36554290488,29.3572437699,46988.7314325,0.000221860150209,15.6472056904,9.01945186315,270575.982116,1.91148161533,8.62218725905
1436981123,6.83453397837,6.43773690937,3.77510911104,1.95864356902,172.398434423,31.9817152422,11.5913980845,53777.4590121,6.20280196842,31.9622013246,53033.8141985,0.000201783802925,15.714924292,8.89710002644,298378.384,1.92610033876,8.64096329739
1436981183,6.9594956111,6.55486823198,2.50031894926,1.96270065439,196.615244812,32.3454331743,11.6820952544,54078.1776671,6.04305140118,32.0582543627,54192.1969854,0.000205678105514,15.7757419702,8.86257332779,262467.922502,1.94850667443,8.63143200864
1436981243,7.16788243945,6.74737780376,3.23595452705,2.03423197403,212.86140744,37.4173243179,11.791285687,62600.309293,5.97116692344,37.1071239857,62772.2646137,0.00020141983935,15.7923380344,8.88122630522,225294.477703,2.03567382924,8.6364106849
1436981303,7.33486113197,6.93976150658,3.19242030767,2.14343997674,225.691161137,49.8924701151,11.6186925189,84909.7691739,5.91323594354,50.1618735082,84826.1227237,0.00019424325596,15.8011026105,8.76596423122,201412.257774,2.1495216122,8.66345955598
1436981363,7.30912678207,6.89573111918,4.31194976207,2.0918262509,260.561535846,42.4005626488,11.909732053,71067.3011898,5.77965288919,41.9275038701,71658.7234365,0.0002063103412,15.8150267712,8.84469247107,189071.455818,2.09478009688,8.62575696415
1436981423,7.29254184725,6.8752355097,4.96708984813,2.11232797166,283.55224978,46.6027546212,11.9613296211,76771.4392113,5.73334670896,45.5315743095,77740.914089,0.000208280649719,15.806610831,8.84733816501,303728.955512,2.10794815212,8.62058575793
1436981483,7.28326791074,6.87933851586,3.91373184074,2.10580734906,305.563406025,48.6432570959,11.9460121457,81428.0830742,5.68557343597,48.391311583,81136.9512499,0.000209248888622,15.7950679184,8.81579279083,274867.2837,2.11552449878,8.62478664971
1436981543,7.55946515759,7.10873261348,4.6627181776,2.11748965045,337.962405879,51.041603316,12.1007732008,87686.1837733,5.54253523319,51.6766506045,87563.1574265,0.000215422775291,15.7821249213,8.82165421699,244524.916241,2.18451229035,8.60638805998
1436981603,7.6782480144,7.18211128759,4.95817493463,2.17346235947,353.062382744,54.6896666451,11.9927485783,110545.115395,5.50919520175,64.9761852935,94389.9323771,0.000210597171732,15.7637359371,8.75097189003,280497.388113,2.28246618932,8.6235839181
1436981663,7.65553077613,7.21628640954,6.46215747346,2.18790025118,421.569376674,58.0241323459,12.3179917858,101980.460125,5.33843582452,59.8292547205,99565.8435931,0.0002368437147,15.738461101,8.82821380514,175050.728422,2.23483389875,8.55944847065
1436981723,7.51862984671,7.07733299506,8.79451211751,2.14645946628,443.924198433,55.9331801567,12.2829573975,95294.7564966,5.25915522573,56.0580589273,94923.0814204,0.000236497236796,15.7023194141,8.77105631162,253899.431279,2.18092204241,8.56009942481
1436981783,7.44790503066,7.05021332156,6.52086778353,2.21741619005,450.781293797,62.029825679,12.2020499008,100094.667589,5.30484979793,59.5279010648,101764.633115,0.000229233364164,15.6677676354,8.75344984935,245685.004112,2.2041200096,8.5851141011
1436981843,7.56510684513,7.1370714311,7.31645899785,2.21809547944,480.838921105,64.4773489746,12.2668564298,101434.496977,5.19536787325,60.8411518808,104212.287531,0.000233882387198,15.6517834811,8.73111215151,241018.376791,2.23797381001,8.57499541604
1436981903,7.45170471326,7.06092254901,8.32141806344,2.23948157546,490.85783077,71.1113134283,12.120596194,112034.394312,5.22931106599,67.6591105735,113554.910142,0.000228846098751,15.6161104129,8.67495362998,199651.751662,2.23406542832,8.59267020974
1436981963,7.43426504129,7.03507625164,7.91610372125,2.26505778801,399.481893709,74.5130860794,11.7281371343,123117.619839,5.52103465916,74.1520841224,121209.147589,0.000177939644103,15.6350004955,8.62458589674,177467.836708,2.28834279133,8.70815455706
